,Name,NCode,Series,SCode,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,id_Name,id_Rating
0,Angola,AGO,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 89.69 , 75.39 , 57.08 , 54.32 , 58.38 , 65.53 , 63.47 , 67.91 , 72.48 , 58.76 , 61.54 , 60.67 , 55.94 , 50.75 , 44.70 , 29.75 , 28.12 , 29.00 , 40.84 , 40.79 , 35.64 , 44.28 ,70.0,2
1,Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD, .. , .. , .. , .. , .. , .. , .. , .. ," 5,930,503,400.96 "," 5,550,483,035.96 "," 5,550,483,035.96 "," 5,784,341,596.36 "," 6,131,475,065.18 "," 7,553,560,459.22 "," 7,072,063,345.59 "," 8,083,872,012.37 "," 8,769,250,549.80 "," 10,201,099,039.44 "," 11,228,764,963.24 "," 10,603,784,541.20 "," 8,307,810,973.59 "," 5,768,720,421.61 "," 4,438,321,017.39 "," 5,538,749,259.95 "," 7,526,446,605.52 "," 7,648,377,412.83 "," 6,506,229,607.29 "," 6,152,922,942.98 "," 9,129,594,818.61 "," 8,936,063,723.20 "," 15,285,594,828.42 "," 17,812,704,825.20 "," 23,552,047,248.43 "," 36,970,918,699.25 "," 52,381,006,892.04 "," 65,266,452,081.39 "," 88,538,610,805.32 "," 70,307,166,934.33 "," 81,699,526,880.81 "," 109,436,566,876.42 "," 124,998,210,652.24 "," 133,401,582,620.49 "," 137,244,439,121.37 "," 87,219,300,384.51 "," 49,840,491,178.15 "," 68,972,769,395.63 "," 77,792,944,471.95 "," 69,309,110,145.77 "," 53,619,073,505.14 "," 67,404,287,260.32 ",70.0,2
2,Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG, .. , .. , .. , .. , .. , .. , .. , .. , .. ,-4.40 , -   , 4.20 , 6.00 , 3.50 , 2.90 , 4.08 , 6.13 , 0.04 ,-3.45 , 0.99 ,-5.84 ,-23.98 , 1.34 , 15.00 , 13.54 , 7.27 , 4.69 , 2.18 , 3.05 , 4.21 , 13.67 , 2.99 , 10.95 , 15.03 , 11.55 , 14.01 , 11.17 , 0.86 , 4.86 , 3.47 , 8.54 , 4.95 , 4.82 , 0.94 ,-2.58 ,-0.15 ,-1.32 ,-0.70 ,-5.60 , 1.10 ,70.0,2
3,Angola,AGO,Income share held by lowest 20%,SI.DST.FRST.20, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 3.20 , .. , .. , .. , .. , .. , .. , .. , 5.40 , .. , .. , .. , .. , .. , .. , .. , .. , .. , 3.80 , .. , .. , .. ,70.0,2
4,Angola,AGO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG, .. , .. , .. , .. , .. , .. , .. , .. , .. ,-2.10 , -   , 0.01 , 0.00 , 19.04 ,-9.01 , 9.82 , 2.21 , 16.28 , 14.01 , 106.31 , 476.52 , 917.78 ," 2,175.98 "," 1,825.50 "," 4,800.53 ", 95.45 , 39.36 , 557.50 , 418.02 , 106.35 , 196.98 , 93.93 , 33.44 , 42.37 , 17.12 , 4.31 , 19.37 ,-16.76 , 31.69 , 31.77 , 7.26 , 2.84 , 3.56 ,-3.51 , 21.77 , 22.62 , 28.17 , 19.18 , 18.16 , 33.62 ,70.0,2
5,Angola,AGO,Net migration,SM.POP.NETM," 35,014.00 "," 40,182.00 "," 39,146.00 "," 38,725.00 "," 35,245.00 "," 44,937.00 "," 45,001.00 "," 47,175.00 "," 53,078.00 "," 52,138.00 "," 55,830.00 "," 61,000.00 "," 57,744.00 "," 54,953.00 "," 47,774.00 "," 46,192.00 "," 47,815.00 "," 46,755.00 "," 47,663.00 "," 33,925.00 "," 39,196.00 "," 38,883.00 "," 45,272.00 "," 40,855.00 "," 45,356.00 "," 49,960.00 "," 51,856.00 "," 51,687.00 "," 53,527.00 "," 56,959.00 "," 60,505.00 "," 59,438.00 "," 66,585.00 "," 64,009.00 "," 70,170.00 "," 73,940.00 "," 73,804.00 "," 77,265.00 "," 90,016.00 "," 94,709.00 "," 96,056.00 "," 91,528.00 "," 84,532.00 "," 74,170.00 "," 91,623.00 "," 77,733.00 "," 61,632.00 "," 58,986.00 "," 7,557.00 "," 29,089.00 ",70.0,2
6,Angola,AGO,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 21.40 , .. , .. , .. , .. , .. , .. , .. , 14.60 , .. , .. , .. , .. , .. , .. , .. , .. , .. , 31.10 , .. , .. , .. ,70.0,2
7,Angola,AGO,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 32.30 , .. , .. , .. ,70.0,2
8,Angola,AGO,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 0.20 , 0.30 , 0.30 , 0.40 , 0.50 , 0.60 , 0.70 , 0.80 , 0.90 , 1.00 , 1.10 , 1.20 , 1.40 , 1.40 , 1.50 , 1.60 , 1.70 , 1.80 , 1.80 , 1.90 , 1.90 , 1.90 , 1.90 , 1.90 , 1.90 , 1.90 , 1.80 , 1.80 , 1.70 , 1.70 , 1.60 , 1.60 ,70.0,2
9,Angola,AGO,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 36.20 , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 15.60 , .. , .. , .. , .. , .. , .. , .. , 19.00 , .. , .. , .. , .. , .. , .. ,70.0,2
