Country Name,Country Code,Series Name,Series Code,1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS, 7.20 , 7.61 , 6.90 , 5.82 , 9.18 , 9.62 , 8.61 , 6.51 , 5.06 , 6.92 , 9.09 , 9.15 , 7.59 , 11.74 , 8.16 , 7.87 , 9.53 , 13.06 , 10.36 , 7.68 , 6.60 , 6.91 , 7.53 , 9.68 , 10.43 , 10.56 , 10.42 , 9.83 , 10.99 , 11.58 , 28.38 , 25.93 , 23.85 , 23.25 , 23.03 , 22.66 , 22.06 , 19.56 , 18.93 , 18.45 , 16.24 , 14.62 , 14.41 , 10.71 , 12.53 , 11.32 , 14.44 , 17.92 , 16.61 , 18.03 
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD," 34,733,000,536.29 "," 52,544,000,116.90 "," 72,436,777,342.46 "," 52,438,647,921.92 "," 51,169,499,892.17 "," 56,781,000,101.08 "," 58,082,870,156.33 "," 69,252,328,951.64 "," 76,961,923,741.07 "," 78,676,842,366.55 "," 84,307,486,836.72 "," 103,979,106,777.91 "," 79,092,001,998.03 "," 88,416,668,900.26 "," 110,934,442,762.69 "," 111,106,191,358.20 "," 126,206,817,196.09 "," 76,636,898,036.47 "," 141,352,368,714.69 "," 189,719,984,268.49 "," 228,788,617,201.70 "," 236,741,715,015.02 "," 257,440,000,000.00 "," 258,031,750,000.00 "," 272,149,750,000.00 "," 292,859,000,000.00 "," 298,948,250,000.00 "," 283,523,000,000.00 "," 284,203,750,000.00 "," 268,696,750,000.00 "," 97,724,004,251.86 "," 127,586,973,492.18 "," 164,657,930,452.79 "," 198,737,095,012.28 "," 232,557,260,817.31 "," 287,530,508,430.57 "," 361,558,037,110.42 "," 332,976,484,577.62 "," 423,627,422,092.49 "," 530,163,281,574.66 "," 545,982,375,701.13 "," 552,025,140,252.25 "," 526,319,673,731.64 "," 594,749,285,413.21 "," 557,531,376,217.97 "," 643,628,665,302.16 "," 524,819,742,918.67 "," 447,754,609,218.68 "," 385,540,224,628.29 "," 487,227,339,102.67 "
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG, 1.63 , 2.81 , 5.53 ,-0.03 ,-2.02 , 6.93 ,-4.51 , 10.22 , 1.52 ,-5.19 ,-0.74 , 4.35 , 1.57 ,-5.19 , 6.15 , 2.70 ,-1.09 ,-7.16 ,-2.47 , 9.13 , 7.94 , 8.21 , 5.84 ,-2.85 , 5.53 , 8.11 , 3.85 ,-3.39 ,-0.79 ,-4.41 ,-10.89 , 8.84 , 9.03 , 8.85 , 8.05 , 9.01 , 4.06 ,-5.92 , 10.13 , 6.00 ,-1.03 , 2.41 ,-2.51 , 2.73 ,-2.08 , 2.82 ,-2.62 ,-2.00 ,-9.94 , 10.40 
Argentina,ARG,Income share held by lowest 20%,SI.DST.FRST.20, .. , .. , .. , .. , .. , .. , .. , .. , 5.30 , .. , .. , .. , .. , .. , 5.10 , 4.60 , .. , .. , .. , 4.80 , 4.60 , 4.50 , 4.40 , 3.80 , 3.50 , 3.50 , 3.40 , 3.50 , 3.20 , 2.60 , 2.80 , 3.30 , 3.60 , 3.80 , 3.90 , 4.10 , 4.20 , 4.30 , 4.60 , 4.80 , 5.00 , 5.00 , 5.10 , .. , 4.90 , 5.10 , 5.00 , 4.70 , 4.80 , .. 
Argentina,ARG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG, 64.24 , 65.54 , 30.63 , 197.70 , 438.32 , 159.43 , 161.37 , 147.38 , 95.79 , 105.28 , 194.54 , 380.16 , 611.20 , 607.45 , 77.29 , 127.54 , 381.25 ," 3,046.09 "," 2,078.32 ", 140.50 , 16.07 ,-3.56 , 2.85 , 3.17 ,-0.05 ,-0.46 ,-1.71 ,-1.84 , 1.04 ,-1.10 , 30.56 , 10.50 , 18.36 , 10.32 , 13.74 , 14.94 , 23.17 , 15.38 , 20.92 , 23.70 , 22.31 , 23.95 , 40.28 , 26.58 , 41.12 , 26.01 , 42.03 , 49.20 , 40.08 , 54.15 
Argentina,ARG,Net migration,SM.POP.NETM," 36,601.00 "," 39,199.00 "," 43,652.00 ","-5,357.00 ","-10,308.00 ","-14,695.00 ","-14,673.00 ","-10,236.00 ","-3,466.00 "," 10,366.00 "," 19,326.00 "," 29,062.00 "," 30,810.00 "," 31,967.00 "," 32,496.00 "," 32,345.00 "," 30,243.00 "," 20,445.00 "," 6,021.00 ","-8,569.00 ","-13,201.00 ","-16,383.00 ","-18,725.00 ","-19,736.00 ","-20,396.00 ","-20,588.00 ","-20,331.00 ","-20,220.00 ","-22,770.00 ","-22,787.00 ","-22,668.00 ","-22,353.00 ","-22,336.00 ","-21,961.00 ","-19,958.00 ","-18,051.00 ","-12,450.00 ","-7,869.00 ","-4,970.00 ","-1,011.00 "," 3,127.00 "," 5,369.00 "," 5,801.00 "," 5,522.00 "," 5,215.00 "," 4,926.00 "," 4,690.00 "," 4,478.00 "," 2,344.00 "," 2,344.00 "
Argentina,ARG,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY, .. , .. , .. , .. , .. , .. , .. , .. , 0.30 , .. , .. , .. , .. , .. , 1.10 , 1.20 , .. , .. , .. , 1.00 , 1.70 , 2.00 , 1.90 , 3.90 , 4.20 , 3.80 , 4.00 , 4.20 , 5.00 , 8.20 , 12.40 , 5.30 , 3.80 , 2.60 , 2.10 , 1.70 , 1.60 , 1.50 , 0.70 , 0.70 , 0.60 , 0.60 , 0.60 , .. , 0.70 , 0.40 , 0.80 , 0.80 , 1.10 , .. 
Argentina,ARG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 30.30 , 25.70 , 32.00 , 35.50 , 42.00 , .. 
Argentina,ARG,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 0.10 , 0.10 , 0.10 , 0.20 , 0.20 , 0.20 , 0.20 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.30 , 0.40 , 0.40 , 0.40 , 0.40 , 0.40 , 0.40 , 0.40 , 0.40 , 0.40 , 0.40 , 0.40 , 0.40 , 0.40 , 0.40 , 0.40 , 0.40 
Argentina,ARG,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 1.70 , .. , 4.70 , .. , .. , .. , .. , .. , .. , .. , .. , 2.30 , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 2.00 , .. , .. , .. 
Argentina,ARG,"School enrollment, secondary (% gross)",SE.SEC.ENRR, 47.55 , 49.91 , 52.63 , 54.19 , 55.64 , 55.55 , 55.45 , 55.27 , 56.17 , 57.43 , 59.17 , 59.78 , 65.28 , 70.21 , 70.09 , 69.82 , 70.32 , .. , 71.49 , 72.31 , .. , .. , 69.65 , .. , 78.87 , 75.34 , 81.26 , 92.61 , 95.94 , 96.85 , 95.90 , 94.96 , 94.51 , 92.76 , 91.81 , 91.92 , 93.24 , 96.62 , 99.50 , 101.54 , 103.48 , 105.04 , 106.04 , 106.95 , 108.46 , 108.73 , 107.65 , 108.23 , 110.13 , .. 
Argentina,ARG,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS, .. , .. , .. , .. , 34.90 , 27.78 , 42.54 , 23.01 , 38.04 , 45.84 , 50.17 , 69.90 , 63.61 , 60.33 , 83.13 , 74.53 , 44.50 , 36.43 , 37.14 , 33.78 , 27.67 , 31.11 , 25.29 , 30.31 , 39.44 , 44.17 , 51.80 , 74.28 , 64.28 , 49.58 , 16.60 , 38.29 , 29.68 , 19.72 , 31.51 , 12.11 , 11.00 , 21.17 , 18.64 , 15.66 , 14.07 , 17.14 , 20.17 , 24.73 , 34.93 , 51.73 , 51.55 , 50.83 , 42.95 , 28.83 
Argentina,ARG,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,-0.80 , 5.89 , 3.32 , 0.01 ,-2.17 , 5.58 ,-5.33 , 6.81 , 3.87 ,-6.50 ,-7.18 , 4.99 , 2.12 ,-6.80 , 9.05 , 1.25 ,-0.44 ,-13.35 , 0.42 , 15.51 , 14.26 , 5.14 , 4.91 ,-4.96 , 7.08 , 7.40 , 3.14 ,-5.91 ,-0.78 ,-5.02 ,-11.36 , 10.77 ,-0.80 , 7.83 , 21.08 , 12.38 , 5.97 ,-7.45 , 11.25 , 9.16 ,-1.56 , 2.10 ,-3.40 , 5.13 ,-2.09 , 5.70 ,-5.60 ,-4.24 ,-7.21 , .. 
Argentina,ARG,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS, .. , .. , .. , .. , 1.27 , 1.98 , 3.20 ,-0.74 ,-6.20 ,-5.99 ,-2.79 ,-2.34 ,-3.15 ,-1.08 ,-2.58 ,-3.81 ,-1.25 ,-1.70 , 3.22 ,-0.34 ,-2.42 ,-3.47 ,-4.26 ,-1.98 ,-2.49 ,-4.14 ,-4.84 ,-4.21 ,-3.16 ,-1.41 , 8.97 , 6.38 , 1.95 , 2.65 , 2.79 , 2.10 , 1.50 , 2.18 ,-0.38 ,-1.01 ,-0.39 ,-2.38 ,-1.74 ,-2.96 ,-2.71 ,-4.84 ,-5.16 ,-0.78 , 0.81 , 1.38 
